MESH2_ID,図名・漢字,図名・よみ,号数
664147.000,羽幌貯水池,はぼろちょすいち,羽幌2号-2
664240.000,ピッシリ山,ぴっしりざん,名寄14号-4
664241.000,蕗の台,ふきのだい,名寄14号-2
664242.000,母子里,もしり,名寄10号-4
664243.000,名寄,なよろ,名寄10号-2
664244.000,見晴山,みはらしやま,名寄6号-4
664245.000,サンル,さんる,名寄6号-2
664246.000,奥興部,おくおこっぺ,名寄2号-4
664247.000,上興部,かみおこっぺ,名寄2号-2
664340.000,秋里,あきさと,紋別14号-4
664341.000,豊野,とよの,紋別14号-2
664342.000,紋別,もんべつ,紋別10号-4
664343.000,,,
664540.000,,,
664541.000,,,
664542.000,,,
664543.000,,,
664134.000,,,
664135.000,苫前,とままえ,羽幌7号-1
664136.000,上羽幌,かみはぼろ,羽幌3号-3
664137.000,幌別山,ほろべつやま,羽幌3号-1
664230.000,羽幌岳,はぼろだけ,名寄15号-3
664231.000,朱鞠内,しゅまりない,名寄15号-1
664232.000,西風連,にしふうれん,名寄11号-3
664233.000,天塩風連,てしおふうれん,名寄11号-1
664234.000,上名寄,かみなよろ,名寄7号-3
664235.000,下川,しもかわ,名寄7号-1
664236.000,一の橋,いちのはし,名寄3号-3
664237.000,西興部,にしおこっぺ,名寄3号-1
664330.000,欝岳,うつだけ,紋別15号-3
664331.000,中宇津々,なかうつつ,紋別15号-1
664332.000,中渚滑,なかしょこつ,紋別11号-3
664333.000,小向,こむかい,紋別11号-1
664334.000,,,
664335.000,,,
664336.000,,,
664530.000,,,
664531.000,,,
664532.000,知床岬,しれとこみさき,知床岬11号-3
664533.000,,,
664124.000,,,
664125.000,力昼,りきびる,羽幌7号-2
664126.000,三溪,さんけい,羽幌3号-4
664127.000,白頭山,はくとうざん,羽幌3号-2
664220.000,霧立峠,きりたちとうげ,名寄15号-4
664221.000,添牛内,そえうしない,名寄15号-2
664222.000,温根別,おんねべつ,名寄11号-4
664223.000,士別,しべつ,名寄11号-2
664224.000,日進,にっしん,名寄7号-4
664225.000,新下川,しんしもかわ,名寄7号-2
664226.000,名寄川上流,なよろがわじょうりゅう,名寄3号-4
664227.000,上札久留,かみさっくる,名寄3号-2
664320.000,滝上,たきのうえ,紋別15号-4
664321.000,北見滝下,きたみたきのした,紋別15号-2
664322.000,上渚滑,かみしょこつ,紋別11号-4
664323.000,志文,しぶん,紋別11号-2
664324.000,中湧別,なかゆうべつ,紋別7号-4
